nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0913300	David Wasco	\N	\N	production_designer,art_department,actor	tt0265666,tt0266697,tt0361748,tt3783958
nm0000237	John Travolta	1954	\N	actor,soundtrack,producer	tt0113161,tt0076666,tt0077631,tt0110912
nm0000235	Uma Thurman	1970	\N	actress,soundtrack,producer	tt0118688,tt0110912,tt0266697,tt0378194
nm0000168	Samuel L. Jackson	1948	\N	actor,producer,soundtrack	tt4154664,tt0110912,tt3460252,tt0417148
nm0000246	Bruce Willis	1955	\N	actor,soundtrack,producer	tt0167404,tt0095016,tt0110912,tt0088571
nm0000233	Quentin Tarantino	1963	\N	writer,actor,producer	tt0110912,tt0105236,tt0116367,tt3460252
nm0000812	Roger Avary	1965	\N	writer,producer,director	tt7248248,tt0292644,tt0110265,tt0110912
nm0004744	Lawrence Bender	1957	\N	producer,camera_department,actor	tt0266697,tt0361748,tt0105236,tt0110912
nm0782900	Andrzej Sekula	1954	\N	cinematographer,director,camera_department	tt0285492,tt0110912,tt0144084,tt0105236
nm0579673	Sally Menke	1953	2010	editor,producer,sound_department	tt0110912,tt0361748,tt0378194,tt0266697
nm0821205	Zach Staenberg	1954	\N	editor,producer,editorial_department	tt0133093,tt0234215,tt1731141,tt1637688
nm0000206	Keanu Reeves	1964	\N	actor,producer,soundtrack	tt0133093,tt0234215,tt0111257,tt0102685
nm0000401	Laurence Fishburne	1961	\N	actor,producer,writer	tt0234215,tt0327056,tt0133093,tt0242653
nm0005251	Carrie-Anne Moss	1967	\N	actress,producer	tt0242653,tt0209144,tt0457572,tt0133093
nm0915989	Hugo Weaving	1960	\N	actor,soundtrack,producer	tt0133093,tt0120737,tt0167261,tt0167260
nm0905154	Lana Wachowski	1965	\N	writer,producer,director	tt0115736,tt0234215,tt1371111,tt0133093
nm0905152	Lilly Wachowski	1967	\N	writer,producer,director	tt1371111,tt0115736,tt0133093,tt0234215
nm0005428	Joel Silver	1952	\N	producer,actor,miscellaneous	tt5444294,tt3799694,tt0095016,tt0133093
nm0204485	Don Davis	1957	\N	composer,music_department,soundtrack	tt0163025,tt0133093,tt0242653,tt0234215
nm0691084	Bill Pope	1952	\N	cinematographer,director,camera_department	tt3040964,tt3890160,tt0133093,tt0316654
nm0044109	Léonide Azar	1900	\N	editor,director,miscellaneous	tt0049060,tt0052136,tt0051378,tt0050658
nm0679959	Gérard Philipe	1922	1959	actor,director,writer	tt0047432,tt0047243,tt0048970,tt0050123
nm0167235	Suzanne Cloutier	1923	2003	actress,producer	tt0041137,tt0045251,tt0046921,tt0042621
nm0146613	Jean-Roger Caussimon	1918	1985	actor,soundtrack,music_department	tt0059682,tt0060400,tt0047868,tt0139338
nm0350764	René Génin	1890	1967	actor	tt0057207,tt0035951,tt0030643,tt0053459
nm0138893	Marcel Carné	1906	1996	director,writer,miscellaneous	tt0037674,tt0030643,tt0046429,tt0031514
nm0627410	Georges Neveux	1900	1982	writer,director	tt0184085,tt0209960,tt0027925,tt0191788
nm0899254	Jacques Viot	1898	1973	writer	tt0047364,tt0039581,tt0031514,tt0053146
nm0006158	Joseph Kosma	1905	1969	composer,soundtrack,music_department	tt0119668,tt0257756,tt0227445,tt0028950
nm0002162	Henri Alekan	1909	2001	cinematographer,camera_department,director	tt0084829,tt0038348,tt0046250,tt0093191
nm0000032	Charlton Heston	1923	2008	actor,director,writer	tt0049833,tt0052618,tt0070723,tt0063442
nm0322603	Grosvenor Glenn	1925	1989	actor	tt0042622,tt0038712
nm0850919	Harold Tasker	\N	\N	actor	tt0042622
nm0103192	David Bradley	1920	1997	director,actor,producer	tt0038712,tt0034010,tt0057273,tt0042622
nm0000636	William Shakespeare	1564	1616	writer,soundtrack,miscellaneous	tt8632012,tt3894536,tt14297038,tt5377528
nm0205244	Owen Davis	1874	1956	writer,producer,miscellaneous	tt0030287,tt0016013,tt0019831,tt0021549
nm0445030	Robert Keigher	\N	\N	producer,production_manager	tt0042622
nm6388048	John Becker	1886	1961	composer	tt0042622
nm0573057	Louis McMahon	\N	2016	cinematographer,director,writer	tt0057434,tt0077713,tt0261411,tt0252973
nm0309950	Christian Gaudin	\N	\N	editor,assistant_director,miscellaneous	tt10358858,tt0136752,tt0062416,tt0059050
nm0041509	Michel Auclair	1922	1988	actor,miscellaneous	tt0069947,tt0038348,tt0042625,tt0050419
nm0051086	Antoine Balpêtré	1898	1963	actor	tt0170202,tt0048616,tt0047432,tt0289384
nm0124482	Raymond Bussières	1907	1982	actor,writer,producer	tt0194068,tt0043386,tt0054866,tt0042696
nm0144889	Jacques Castelot	1914	1989	actor	tt0170210,tt0197199,tt0042013,tt0046415
nm0147265	André Cayatte	1909	1989	writer,director,assistant_director	tt0042625,tt0068730,tt0045525,tt0076595
